"StuID","ReceiptNo","PymtDt","PaidAmt","ModeOfPymt","ChequeNo","BankName","JobID","LastUpdatedDate"
"49","RCP000031","2013-05-20 00:00:00","3500","Cash",,,"1","2013-05-20 00:00:00"
"52","RCP000000","2013-05-20 00:00:00","0","Select",NULL,NULL,"1","2013-05-20 00:00:00"
"53","RCP000000","2013-05-20 00:00:00","0","Select",NULL,NULL,"3","2013-05-20 00:00:00"
"82","RCP000000","2013-06-01 00:00:00","0","Select",NULL,NULL,"1","2013-06-01 00:00:00"
"83","RCP000000","2013-06-01 00:00:00","0","Select",NULL,NULL,"1","2013-06-01 00:00:00"
"52","RCP000070","2013-06-03 00:00:00","0","Cash",,,"1","2013-06-03 00:00:00"
"52","RCP000071","2013-06-03 00:00:00","3500","Cash",,,"1","2013-06-03 00:00:00"
"81","RCP000072","2013-06-03 00:00:00","3500","Cash",,,"1","2013-06-03 00:00:00"
"70","RCP000073","2013-06-03 00:00:00","3500","Cash",,,"1","2013-06-03 00:00:00"
"84","RCP000000","2013-06-03 00:00:00","0","Select",NULL,NULL,"1","2013-06-03 00:00:00"
"85","RCP000000","2013-06-03 00:00:00","0","Select",NULL,NULL,"3","2013-06-03 00:00:00"
"84","RCP000074","2013-06-03 00:00:00","3500","Cash",,,"1","2013-06-03 00:00:00"
"85","RCP000075","2013-06-03 00:00:00","500","Cash",,,"3","2013-06-03 00:00:00"
"86","RCP000000","2013-06-03 00:00:00","0","Select",NULL,NULL,"1","2013-06-03 00:00:00"
"87","RCP000000","2013-06-03 00:00:00","0","Select",NULL,NULL,"1","2013-06-03 00:00:00"
"55","RCP000076","2013-06-03 00:00:00","3500","Cash",,,"1","2013-06-03 00:00:00"
"78","RCP000077","2013-06-03 00:00:00","3500","Cash",,,"1","2013-06-03 00:00:00"
"88","RCP000000","2013-06-03 00:00:00","0","Select",NULL,NULL,"1","2013-06-03 00:00:00"
"79","RCP000078","2013-06-04 00:00:00","3500","Cash",,,"1","2013-06-03 00:00:00"
"82","RCP000079","2013-06-04 00:00:00","3500","Cash",,,"1","2013-06-03 00:00:00"
"74","RCP000080","2013-06-03 00:00:00","3500","Cash",,,"1","2013-06-03 00:00:00"
"89","RCP000081","2013-06-04 00:00:00","3500","Cash",,,"1","2013-06-04 00:00:00"
"88","RCP000082","2013-06-04 00:00:00","3500","Cash",,,"1","2013-06-04 00:00:00"
"90","RCP000083","2013-06-04 00:00:00","500","Cash",,,"3","2013-06-04 00:00:00"
"87","RCP000084","2013-06-04 00:00:00","3500","Cash",,,"1","2013-06-04 00:00:00"
"5","RCP000085","2013-06-04 00:00:00","1500","Cash",,,"1","2013-06-04 00:00:00"
"91","RCP000086","2013-06-05 00:00:00","500","Cash",,,"3","2013-06-05 00:00:00"
"92","RCP000000","2013-06-05 00:00:00","0","Select",NULL,NULL,"1","2013-06-05 00:00:00"
"92","RCP000087","2013-06-05 00:00:00","4000","Cash",,,"1","2013-06-05 00:00:00"
"93","RCP000000","2013-06-05 00:00:00","0","Select",NULL,NULL,"1","2013-06-05 00:00:00"
"83","RCP000088","2013-06-06 00:00:00","3500","Cash",,,"1","2013-06-06 00:00:00"
"94","RCP000000","2013-06-06 00:00:00","0","Select",NULL,NULL,"1","2013-06-06 00:00:00"
"69","RCP000089","2013-05-28 00:00:00","3500","Cash",,,"1","2013-06-07 00:00:00"
"86","RCP000090","2013-06-04 00:00:00","3500","Cash",,,"1","2013-06-07 00:00:00"
"95","RCP000091","2013-06-07 00:00:00","300","Cash",,,"3","2013-06-07 00:00:00"
"96","RCP000000","2013-06-07 00:00:00","0","Select",NULL,NULL,"1","2013-06-07 00:00:00"
"96","RCP000092","2013-06-10 00:00:00","3500","Cash",,,"1","2013-06-10 00:00:00"
"93","RCP000093","2013-06-07 00:00:00","3500","Cash",,,"1","2013-06-10 00:00:00"
"97","RCP000094","2013-06-08 00:00:00","3500","Cash",,,"1","2013-06-10 00:00:00"
"98","RCP000095","2013-06-10 00:00:00","3500","Cash",,,"1","2013-06-10 00:00:00"
"99","RCP000096","2013-06-11 00:00:00","3500","Cash",,,"1","2013-06-11 00:00:00"
"100","RCP000000","2013-06-11 00:00:00","0","Select",NULL,NULL,"1","2013-06-11 00:00:00"
"101","RCP000000","2013-06-11 00:00:00","0","Select",NULL,NULL,"1","2013-06-11 00:00:00"
"102","RCP000000","2013-06-11 00:00:00","0","Select",NULL,NULL,"3","2013-06-11 00:00:00"
"36","RCP000097","2013-06-12 00:00:00","750","Cash",,,"1","2013-06-12 00:00:00"
"32","RCP000098","2013-06-14 00:00:00","1450","Cash",,,"1","2013-06-12 00:00:00"
"102","RCP000099","2013-06-12 00:00:00","300","Cash",,,"3","2013-06-12 00:00:00"
"103","RCP000100","2013-06-12 00:00:00","500","Cash",,,"3","2013-06-12 00:00:00"
"10","RCP000101","2013-06-13 00:00:00","500","Cash",,,"3","2013-06-13 00:00:00"
"104","RCP000000","2013-06-13 00:00:00","0","Select",NULL,NULL,"1","2013-06-13 00:00:00"
"105","RCP000000","2013-06-13 00:00:00","0","Select",NULL,NULL,"1","2013-06-13 00:00:00"
"106","RCP000000","2013-06-13 00:00:00","0","Select",NULL,NULL,"1","2013-06-13 00:00:00"
"107","RCP000000","2013-06-14 00:00:00","0","Select",NULL,NULL,"1","2013-06-14 00:00:00"
"108","RCP000000","2013-06-14 00:00:00","0","Select",NULL,NULL,"1","2013-06-14 00:00:00"
"109","RCP000000","2013-06-14 00:00:00","0","Select",NULL,NULL,"1","2013-06-14 00:00:00"
"110","RCP000000","2013-06-14 00:00:00","0","Select",NULL,NULL,"1","2013-06-14 00:00:00"
"111","RCP000102","2013-06-14 00:00:00","300","Cash",,,"3","2013-06-14 00:00:00"
"5","RCP000103","2013-06-14 00:00:00","750","Cash",,,"1","2013-06-14 00:00:00"
"8","RCP000104","2013-06-14 00:00:00","1450","Cash",,,"1","2013-06-14 00:00:00"
"14","RCP000105","2013-06-14 00:00:00","1050","Cash",,,"1","2013-06-14 00:00:00"
"19","RCP000106","2013-06-14 00:00:00","750","Cash",,,"1","2013-06-14 00:00:00"
"18","RCP000107","2013-05-31 00:00:00","1050","Cash",,,"1","2013-06-14 00:00:00"
"22","RCP000108","2013-06-14 00:00:00","1450","Cash",,,"1","2013-06-14 00:00:00"
"25","RCP000109","2013-06-14 00:00:00","1450","Cash",,,"1","2013-06-14 00:00:00"
"28","RCP000110","2013-06-14 00:00:00","1750","Cash",,,"1","2013-06-14 00:00:00"
"30","RCP000111","2013-06-14 00:00:00","1850","Cash",,,"1","2013-06-14 00:00:00"
"31","RCP000112","2013-06-14 00:00:00","1000","Cash",,,"1","2013-06-14 00:00:00"
"33","RCP000113","2013-06-14 00:00:00","750","Cash",,,"1","2013-06-14 00:00:00"
"34","RCP000114","2013-06-14 00:00:00","750","Cash",,,"1","2013-06-14 00:00:00"
"35","RCP000115","2013-06-14 00:00:00","1750","Cash",,,"1","2013-06-14 00:00:00"
"37","RCP000116","2013-06-14 00:00:00","1050","Cash",,,"1","2013-06-14 00:00:00"
"40","RCP000117","2013-06-14 00:00:00","1850","Cash",,,"1","2013-06-14 00:00:00"
"42","RCP000118","2013-06-14 00:00:00","1050","Cash",,,"1","2013-06-14 00:00:00"
"43","RCP000119","2013-06-14 00:00:00","1050","Cash",,,"1","2013-06-14 00:00:00"
"44","RCP000120","2013-06-14 00:00:00","700","Cash",,,"3","2013-06-14 00:00:00"
"112","RCP000000","2013-06-15 00:00:00","0","Select",NULL,NULL,"1","2013-06-15 00:00:00"
"112","RCP000121","2013-06-15 00:00:00","3500","Cash",,,"1","2013-06-15 00:00:00"
"113","RCP000000","2013-06-15 00:00:00","0","Select",NULL,NULL,"1","2013-06-15 00:00:00"
"114","RCP000000","2013-06-18 00:00:00","0","Select",NULL,NULL,"1","2013-06-18 00:00:00"
"115","RCP000000","2013-06-18 00:00:00","0","Select",NULL,NULL,"1","2013-06-18 00:00:00"
"104","RCP000122","2013-06-17 00:00:00","3500","Cash",,,"1","2013-06-19 00:00:00"
"105","RCP000123","2013-06-17 00:00:00","3500","Cash",,,"1","2013-06-19 00:00:00"
"106","RCP000124","2013-06-17 00:00:00","3500","Cash",,,"1","2013-06-19 00:00:00"
"116","RCP000000","2013-06-19 00:00:00","0","Select",NULL,NULL,"1","2013-06-19 00:00:00"
"113","RCP000125","2013-06-18 00:00:00","3500","Cash",,,"1","2013-06-19 00:00:00"
"116","RCP000126","2013-06-19 00:00:00","3000","Cash",,,"1","2013-06-19 00:00:00"
"101","RCP000127","2013-06-19 00:00:00","3000","Cash",,,"1","2013-06-19 00:00:00"
"117","RCP000000","2013-06-19 00:00:00","0","Select",NULL,NULL,"6","2013-06-19 00:00:00"
"117","RCP000128","2013-06-19 00:00:00","500","Cash",,,"6","2013-06-19 00:00:00"
"94","RCP000129","2013-06-20 00:00:00","3500","Cheque","889162","HDFC BANK","1","2013-06-19 00:00:00"
"115","RCP000130","2013-06-20 00:00:00","3500","Cash",,,"1","2003-01-01 00:00:00"
"118","RCP000000","2003-01-01 00:00:00","0","Select",NULL,NULL,"1","2003-01-01 00:00:00"
"110","RCP000131","2013-06-17 00:00:00","3500","Cash",,,"1","2003-01-01 00:00:00"
"107","RCP000132","2013-06-17 00:00:00","3500","Cash",,,"1","2003-01-01 00:00:00"
"108","RCP000133","2013-06-17 00:00:00","3500","Cash",,,"1","2003-01-01 00:00:00"
"100","RCP000134","2013-06-17 00:00:00","3500","Cash",,,"1","2003-01-01 00:00:00"
"119","RCP000000","2003-01-01 00:00:00","0","Select",NULL,NULL,"1","2003-01-01 00:00:00"
"120","RCP000000","2003-01-01 00:00:00","0","Select",NULL,NULL,"3","2003-01-01 00:00:00"
"121","RCP000000","2003-01-01 00:00:00","0","Select",NULL,NULL,"3","2003-01-01 00:00:00"
"121","RCP000135","2013-06-22 00:00:00","300","Cash",,,"3","2003-01-01 00:00:00"
"122","RCP000000","2003-01-01 00:00:00","0","Select",NULL,NULL,"3","2003-01-01 00:00:00"
"122","RCP000136","2013-06-22 00:00:00","300","Cash",,,"3","2003-01-01 00:00:00"
"119","RCP000137","2013-06-24 00:00:00","3500","Cash",,,"1","2013-06-24 00:00:00"
"121","RCP000138","2013-06-24 00:00:00","3200","Cash",,,"3","2013-06-24 00:00:00"
"123","RCP000000","2013-06-24 00:00:00","0","Select",NULL,NULL,"1","2013-06-24 00:00:00"
"23","RCP000139","2013-06-24 00:00:00","3500","Cash",,,"6","2013-06-24 00:00:00"
"114","RCP000140","2013-06-25 00:00:00","3500","Cash",,,"1","2003-01-01 00:00:00"
"124","RCP000000","2003-01-01 00:00:00","0","Select",NULL,NULL,"6","2003-01-01 00:00:00"
"125","RCP000000","2003-01-01 00:00:00","0","Select",NULL,NULL,"1","2003-01-01 00:00:00"
"126","RCP000000","2003-01-01 00:00:00","0","Select",NULL,NULL,"1","2003-01-01 00:00:00"
"127","RCP000000","2013-06-26 00:00:00","0","Select",NULL,NULL,"1","2013-06-26 00:00:00"
"128","RCP000000","2013-06-26 00:00:00","0","Select",NULL,NULL,"3","2013-06-26 00:00:00"
"128","RCP000141","2013-06-26 00:00:00","300","Cash",,,"3","2013-06-26 00:00:00"
"129","RCP000000","2013-06-26 00:00:00","0","Select",NULL,NULL,"6","2013-06-26 00:00:00"
"129","RCP000142","2013-06-26 00:00:00","300","Cash",,,"6","2013-06-26 00:00:00"
"118","RCP000143","2013-06-26 00:00:00","3500","Cash",,,"1","2013-06-26 00:00:00"
"130","RCP000000","2013-06-27 00:00:00","0","Select",NULL,NULL,"3","2013-06-27 00:00:00"
"131","RCP000000","2013-06-01 00:00:00","0","Select",NULL,NULL,"1","2013-06-01 00:00:00"
"132","RCP000000","2013-06-01 00:00:00","0","Select",NULL,NULL,"1","2013-06-01 00:00:00"
"133","RCP000000","2013-06-29 00:00:00","0","Select",NULL,NULL,"1","2013-06-29 00:00:00"
"21","RCP000144","2013-06-28 00:00:00","1250","Cash",,,"1","2013-06-29 00:00:00"
"38","RCP000145","2013-06-28 00:00:00","1050","Cash",,,"1","2013-06-29 00:00:00"
"41","RCP000146","2013-06-28 00:00:00","1450","Cash",,,"1","2013-06-29 00:00:00"
"45","RCP000147","2013-06-28 00:00:00","800","Cash",,,"6","2013-06-29 00:00:00"
"46","RCP000148","2013-06-28 00:00:00","1450","Cash",,,"1","2013-06-29 00:00:00"
"49","RCP000149","2013-06-28 00:00:00","1050","Cash",,,"1","2013-06-29 00:00:00"
"51","RCP000150","2013-06-28 00:00:00","1050","Cash",,,"1","2013-06-29 00:00:00"
"54","RCP000151","2013-06-28 00:00:00","1450","Cash",,,"1","2013-06-29 00:00:00"
"55","RCP000152","2013-06-28 00:00:00","1050","Cash",,,"1","2013-06-29 00:00:00"
"56","RCP000153","2013-06-28 00:00:00","1950","Cash",,,"1","2013-06-29 00:00:00"
"57","RCP000154","2013-06-28 00:00:00","700","Cash",,,"3","2013-06-29 00:00:00"
"60","RCP000155","2013-06-28 00:00:00","900","Cash",,,"1","2013-06-29 00:00:00"
"67","RCP000156","2013-06-28 00:00:00","1050","Cash",,,"1","2013-06-29 00:00:00"
"61","RCP000157","2013-06-28 00:00:00","1450","Cash",,,"1","2013-06-29 00:00:00"
"63","RCP000158","2013-06-28 00:00:00","600","Cash",,,"3","2013-06-29 00:00:00"
"65","RCP000159","2013-06-28 00:00:00","1050","Cash",,,"1","2013-06-29 00:00:00"
"66","RCP000160","2013-06-28 00:00:00","1050","Cash",,,"1","2013-06-29 00:00:00"
"69","RCP000161","2013-06-28 00:00:00","1050","Cash",,,"1","2013-06-29 00:00:00"
"58","RCP000162","2013-06-28 00:00:00","1450","Cash",,,"1","2013-06-29 00:00:00"
"9","RCP000163","2013-07-01 00:00:00","3500","Cheque","241","STANDARD CHARTERED","1","2013-06-30 00:00:00"
"126","RCP000164","2013-07-01 00:00:00","3500","Cash",,,"1","2013-07-01 00:00:00"
"123","RCP000165","2013-07-01 00:00:00","3500","Cash",,,"1","2013-07-01 00:00:00"
"125","RCP000166","2013-07-01 00:00:00","3500","Cash",,,"1","2013-07-01 00:00:00"
"127","RCP000167","2013-07-01 00:00:00","3000","Cash",,,"1","2013-07-01 00:00:00"
"134","RCP000000","2013-07-01 00:00:00","0","Select",NULL,NULL,"1","2013-07-01 00:00:00"
"135","RCP000000","2013-07-02 00:00:00","0","Select",NULL,NULL,"3","2013-07-02 00:00:00"
"136","RCP000000","2013-07-02 00:00:00","0","Select",NULL,NULL,"1","2013-07-02 00:00:00"
"133","RCP000168","2013-07-02 00:00:00","3500","Cash",,,"1","2013-07-02 00:00:00"
